gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Rating
female,group E,associate's degree,standard,completed,79,88,94,Very good
male,group B,high school,standard,completed,73,69,68,Good
female,group C,bachelor's degree,free/reduced,completed,66,83,83,Good
male,group C,associate's degree,standard,completed,51,60,58,Acceptance
female,group D,high school,standard,none,51,66,62,Not good
male,group E,bachelor's degree,standard,completed,85,66,71,Good
male,group A,associate's degree,standard,completed,97,92,86,Excellent
male,group C,high school,standard,completed,75,69,68,Good
male,group D,associate's degree,free/reduced,completed,79,82,80,Very good
female,group C,associate's degree,standard,none,81,77,79,Good
female,group D,associate's degree,standard,none,82,95,89,Very good
female,group D,master's degree,standard,none,64,63,66,Not good
male,group E,some high school,free/reduced,completed,78,83,80,Very good
female,group A,some high school,standard,completed,92,100,97,Excellent
male,group C,high school,standard,completed,72,67,64,Not good
female,group C,high school,free/reduced,none,62,67,64,Not good
male,group C,master's degree,standard,none,79,72,69,Good
male,group C,some high school,free/reduced,none,79,76,65,Good
male,group B,bachelor's degree,free/reduced,completed,87,90,88,Very good
female,group B,associate's degree,standard,none,40,48,50,Fail
male,group D,some college,free/reduced,none,77,62,64,Not good
male,group E,associate's degree,standard,none,53,45,40,Fail
female,group C,some college,free/reduced,none,32,39,33,Fail
female,group C,associate's degree,standard,completed,55,72,79,Not good
male,group C,master's degree,free/reduced,none,61,67,66,Not good
female,group B,associate's degree,free/reduced,none,53,70,70,Not good
male,group D,some high school,standard,none,73,66,62,Not good
female,group D,some college,standard,completed,74,75,79,Good
female,group C,some college,standard,none,63,74,74,Good
male,group C,bachelor's degree,standard,completed,96,90,92,Excellent
female,group D,some college,free/reduced,completed,63,80,80,Good
male,group B,bachelor's degree,free/reduced,none,48,51,46,Fail
male,group B,associate's degree,standard,none,48,43,45,Fail
female,group E,bachelor's degree,free/reduced,completed,92,100,100,Excellent
female,group D,master's degree,free/reduced,completed,61,71,78,Good
male,group B,high school,free/reduced,none,63,48,47,Acceptance
male,group D,bachelor's degree,free/reduced,none,68,68,67,Not good
male,group B,some college,standard,completed,71,75,70,Good
male,group A,bachelor's degree,standard,none,91,96,92,Excellent
female,group C,some college,standard,none,53,62,56,Acceptance
female,group C,high school,free/reduced,completed,50,66,64,Not good
female,group E,high school,standard,none,74,81,71,Good
male,group A,associate's degree,free/reduced,completed,40,55,53,Acceptance
male,group A,some college,standard,completed,61,51,52,Acceptance
female,group B,high school,standard,none,81,91,89,Very good
female,group B,some college,free/reduced,completed,48,56,58,Acceptance
female,group D,master's degree,standard,none,53,61,68,Not good
female,group D,some high school,standard,none,81,97,96,Excellent
female,group E,some high school,standard,none,77,79,80,Good
female,group D,bachelor's degree,free/reduced,none,63,73,78,Good
female,group D,associate's degree,standard,completed,73,75,80,Good
female,group D,some college,standard,none,69,77,77,Good
female,group C,associate's degree,standard,none,65,76,76,Good
female,group A,high school,standard,none,55,73,73,Not good
female,group C,bachelor's degree,free/reduced,none,44,63,62,Acceptance
female,group C,some college,standard,none,54,64,65,Not good
female,group A,some high school,standard,none,48,66,65,Not good
male,group C,some college,free/reduced,none,58,57,54,Acceptance
male,group A,some high school,standard,none,71,62,50,Not good
male,group E,bachelor's degree,standard,none,68,68,64,Not good
female,group E,high school,standard,none,74,76,73,Good
female,group C,bachelor's degree,standard,completed,92,100,99,Excellent
female,group C,bachelor's degree,standard,completed,56,79,72,Not good
male,group B,high school,free/reduced,none,30,24,15,Fail
male,group A,some high school,standard,none,53,54,48,Acceptance
female,group D,high school,standard,none,69,77,73,Good
female,group D,some high school,standard,none,65,82,81,Good
female,group D,master's degree,standard,none,54,60,63,Acceptance
female,group C,high school,standard,none,29,29,30,Fail
female,group E,some college,standard,none,76,78,80,Good
male,group D,high school,free/reduced,none,60,57,51,Acceptance
male,group D,master's degree,free/reduced,completed,84,89,90,Very good
male,group C,some high school,standard,none,75,72,62,Good
female,group C,associate's degree,standard,none,85,84,82,Very good
female,group C,master's degree,free/reduced,none,40,58,54,Acceptance
female,group E,some college,standard,none,61,64,62,Not good
female,group B,associate's degree,standard,none,58,63,65,Not good
male,group D,some college,free/reduced,completed,69,60,63,Not good
female,group C,some college,standard,none,58,59,66,Not good
male,group C,bachelor's degree,standard,completed,94,90,91,Excellent
female,group C,associate's degree,standard,none,65,77,74,Good
female,group A,associate's degree,standard,none,82,93,93,Excellent
female,group C,high school,standard,none,60,68,72,Not good
female,group E,bachelor's degree,standard,none,37,45,38,Fail
male,group D,bachelor's degree,standard,none,88,78,83,Very good
male,group D,master's degree,standard,none,95,81,84,Very good
male,group C,associate's degree,free/reduced,completed,65,73,68,Not good
female,group C,high school,free/reduced,none,35,61,54,Acceptance
male,group B,bachelor's degree,free/reduced,none,62,63,56,Not good
male,group C,high school,free/reduced,completed,58,51,52,Acceptance
male,group A,some college,standard,completed,100,96,86,Excellent
female,group E,bachelor's degree,free/reduced,none,61,58,62,Not good
male,group D,some college,standard,completed,100,97,99,Excellent
male,group B,associate's degree,free/reduced,completed,69,70,63,Not good
male,group D,associate's degree,standard,none,61,48,46,Acceptance
male,group D,some college,free/reduced,none,49,57,46,Acceptance
female,group C,some high school,standard,completed,44,51,55,Acceptance
male,group D,some college,standard,none,67,64,70,Not good
male,group B,high school,standard,none,79,60,65,Not good
female,group B,bachelor's degree,standard,completed,66,74,81,Good
female,group C,high school,standard,none,75,88,85,Very good
male,group D,some high school,standard,none,84,84,80,Very good
male,group A,high school,standard,none,71,74,64,Good
female,group B,high school,free/reduced,completed,67,80,81,Good
female,group D,some high school,standard,completed,80,92,88,Very good
male,group E,some college,standard,none,86,76,74,Good
female,group D,associate's degree,standard,none,76,74,73,Good
male,group D,high school,standard,none,41,52,51,Fail
female,group D,associate's degree,free/reduced,completed,74,88,90,Very good
female,group B,some high school,free/reduced,none,72,81,79,Good
female,group E,high school,standard,completed,74,79,80,Good
male,group B,high school,standard,none,70,65,60,Not good
female,group B,bachelor's degree,standard,completed,65,81,81,Good
female,group D,associate's degree,standard,none,59,70,65,Not good
female,group E,high school,free/reduced,none,64,62,68,Not good
female,group B,high school,standard,none,50,53,55,Acceptance
female,group D,some college,standard,completed,69,79,81,Good
male,group C,some high school,free/reduced,completed,51,56,53,Acceptance
female,group A,high school,standard,completed,68,80,76,Good
female,group D,some college,standard,completed,85,86,98,Excellent
female,group A,associate's degree,standard,completed,65,70,74,Good
female,group B,some high school,standard,none,73,79,79,Good
female,group B,some college,standard,none,62,67,67,Not good
male,group C,associate's degree,free/reduced,none,77,67,64,Good
male,group D,some high school,standard,none,69,66,61,Not good
female,group D,associate's degree,free/reduced,none,43,60,58,Acceptance
male,group D,associate's degree,standard,none,90,87,85,Very good
male,group C,some college,free/reduced,none,74,77,73,Good
male,group C,some high school,standard,none,73,66,63,Not good
female,group D,some college,free/reduced,none,55,71,69,Not good
female,group C,high school,standard,none,65,69,67,Not good
male,group D,associate's degree,standard,none,80,63,63,Not good
female,group C,some high school,free/reduced,completed,50,60,60,Acceptance
female,group C,some college,free/reduced,completed,63,73,71,Not good
female,group B,bachelor's degree,free/reduced,none,77,85,87,Very good
male,group C,some college,standard,none,73,74,61,Good
male,group D,associate's degree,standard,completed,81,72,77,Good
female,group C,high school,free/reduced,none,66,76,68,Good
male,group D,associate's degree,free/reduced,none,52,57,50,Acceptance
female,group C,some college,standard,none,69,78,76,Good
female,group C,associate's degree,standard,completed,65,84,84,Good
female,group D,high school,standard,completed,69,77,78,Good
female,group B,some college,standard,completed,50,64,66,Not good
female,group E,some college,standard,completed,73,78,76,Good
female,group C,some high school,standard,completed,70,82,76,Good
male,group D,associate's degree,free/reduced,none,81,75,78,Good
male,group D,some college,free/reduced,none,63,61,60,Not good
female,group D,high school,standard,none,67,72,74,Good
male,group B,high school,standard,none,60,68,60,Not good
male,group B,high school,standard,none,62,55,54,Acceptance
female,group C,some high school,free/reduced,completed,29,40,44,Fail
male,group B,some college,standard,completed,62,66,68,Not good
female,group E,master's degree,standard,completed,94,99,100,Excellent
male,group E,some college,standard,completed,85,75,68,Good
male,group D,associate's degree,free/reduced,none,77,78,73,Good
male,group A,high school,free/reduced,none,53,58,44,Acceptance
male,group E,some college,free/reduced,none,93,90,83,Very good
female,group C,associate's degree,standard,none,49,53,53,Acceptance
female,group E,associate's degree,free/reduced,none,73,76,78,Good
female,group C,bachelor's degree,free/reduced,completed,66,74,81,Good
female,group D,associate's degree,standard,none,77,77,73,Good
female,group C,some high school,standard,none,49,63,56,Acceptance
female,group D,some college,free/reduced,none,79,89,86,Very good
female,group C,associate's degree,standard,completed,75,82,90,Very good
female,group A,bachelor's degree,standard,none,59,72,70,Not good
female,group D,associate's degree,standard,completed,57,78,79,Good
male,group C,high school,free/reduced,none,66,66,59,Not good
female,group E,bachelor's degree,standard,completed,79,81,82,Very good
female,group B,some high school,standard,none,57,67,72,Not good
male,group A,bachelor's degree,standard,completed,87,84,87,Very good
female,group D,some college,standard,none,63,64,67,Not good
female,group B,some high school,free/reduced,completed,59,63,64,Not good
male,group A,bachelor's degree,free/reduced,none,62,72,65,Not good
male,group D,high school,standard,none,46,34,36,Fail
male,group C,some college,standard,none,66,59,52,Acceptance
male,group D,high school,standard,none,89,87,79,Very good
female,group D,associate's degree,free/reduced,completed,42,61,58,Acceptance
male,group C,some college,standard,completed,93,84,90,Very good
female,group E,some high school,standard,completed,80,85,85,Very good
female,group D,some college,standard,none,98,100,99,Excellent
male,group D,master's degree,standard,none,81,81,84,Very good
female,group B,some high school,standard,completed,60,70,74,Not good
female,group B,associate's degree,free/reduced,completed,76,94,87,Very good
male,group C,associate's degree,standard,completed,73,78,72,Good
female,group C,associate's degree,standard,completed,96,96,99,Excellent
female,group C,high school,standard,none,76,76,74,Good
male,group E,associate's degree,free/reduced,completed,91,73,80,Very good
female,group C,some college,free/reduced,none,62,72,70,Not good
male,group D,some high school,free/reduced,completed,55,59,59,Acceptance
female,group B,some high school,free/reduced,completed,74,90,88,Very good
male,group C,high school,standard,none,50,48,42,Fail
male,group B,some college,standard,none,47,43,41,Fail
male,group E,some college,standard,completed,81,74,71,Good
female,group E,associate's degree,standard,completed,65,75,77,Good
male,group E,some high school,standard,completed,68,51,57,Acceptance
female,group D,high school,free/reduced,none,73,92,84,Very good
male,group C,some college,standard,none,53,39,37,Fail
female,group B,associate's degree,free/reduced,completed,68,77,80,Good
male,group A,some high school,free/reduced,none,55,46,43,Fail
female,group C,some college,standard,completed,87,89,94,Excellent
male,group D,some high school,standard,none,55,47,44,Fail
female,group E,some college,free/reduced,none,53,58,57,Acceptance
male,group C,master's degree,standard,none,67,57,59,Not good
male,group C,associate's degree,standard,none,92,79,84,Very good
female,group B,some college,free/reduced,completed,53,66,73,Not good
male,group D,associate's degree,standard,none,81,71,73,Good
male,group C,high school,free/reduced,none,61,60,55,Acceptance
male,group D,bachelor's degree,standard,none,80,73,72,Good
female,group A,associate's degree,free/reduced,none,37,57,56,Acceptance
female,group C,high school,standard,none,81,84,82,Very good
female,group C,associate's degree,standard,completed,59,73,72,Not good
male,group B,some college,free/reduced,none,55,55,47,Acceptance
male,group D,associate's degree,standard,none,72,79,74,Good
male,group D,high school,standard,none,69,75,71,Good
male,group C,some college,standard,none,69,64,68,Not good
female,group C,bachelor's degree,free/reduced,none,50,60,59,Acceptance
male,group B,some college,standard,completed,87,84,86,Very good
male,group D,some high school,standard,completed,71,69,68,Good
male,group E,some college,standard,none,68,72,65,Not good
male,group C,master's degree,free/reduced,completed,79,77,75,Good
female,group C,some high school,standard,completed,77,90,85,Very good
male,group C,associate's degree,free/reduced,none,58,55,53,Acceptance
female,group E,associate's degree,standard,none,84,95,92,Excellent
male,group D,some college,standard,none,55,58,52,Acceptance
male,group E,bachelor's degree,free/reduced,completed,70,68,72,Good
female,group D,some college,free/reduced,completed,52,59,65,Acceptance
male,group B,some college,standard,completed,69,77,77,Good
female,group C,high school,free/reduced,none,53,72,64,Not good
female,group D,some high school,standard,none,48,58,54,Acceptance
male,group D,some high school,standard,completed,78,81,86,Very good
female,group B,high school,standard,none,62,62,63,Not good
male,group D,some college,standard,none,60,63,59,Not good
female,group B,high school,standard,none,74,72,72,Good
female,group C,high school,standard,completed,58,75,77,Good
male,group B,high school,standard,completed,76,62,60,Not good
female,group D,some high school,standard,none,68,71,75,Good
male,group A,some college,free/reduced,none,58,60,57,Acceptance
male,group B,high school,standard,none,52,48,49,Acceptance
male,group D,bachelor's degree,standard,none,75,73,74,Good
female,group B,some high school,free/reduced,completed,52,67,72,Not good
female,group C,,free/reduced,none,62,78,79,Good
male,group B,some college,standard,none,66,65,60,Not good
female,group B,some high school,free/reduced,none,49,58,55,Acceptance
female,group B,high school,standard,none,66,72,70,Good
female,group C,some college,free/reduced,none,35,44,43,Fail
female,group A,some college,standard,completed,72,79,82,Good
male,group E,associate's degree,standard,completed,94,85,82,Very good
female,group D,associate's degree,free/reduced,,46,56,57,Acceptance
female,group B,master's degree,standard,none,77,90,84,Very good
female,group B,high school,free/reduced,completed,76,85,82,Very good
female,group C,associate's degree,standard,completed,52,59,62,Acceptance
male,group C,bachelor's degree,standard,completed,91,81,79,Very good
female,group B,some high school,standard,completed,32,51,44,Fail
female,group E,some high school,free/reduced,none,72,79,77,Good
female,group B,some college,standard,none,19,38,32,Fail
male,group C,associate's degree,free/reduced,none,68,65,61,Not good
female,group C,master's degree,free/reduced,none,52,65,61,Not good
female,group B,high school,standard,none,48,62,60,Acceptance
female,group D,some college,free/reduced,none,60,66,70,Not good
male,group D,high school,free/reduced,none,66,74,69,Good
male,group E,some high school,standard,completed,89,84,77,Very good
female,group B,high school,standard,none,42,52,51,Fail
female,group E,associate's degree,free/reduced,completed,57,68,73,Not good
male,group D,high school,standard,none,70,70,70,Good
female,group E,associate's degree,free/reduced,none,70,84,81,Good
male,group E,some college,standard,none,69,60,54,Not good
female,group C,associate's degree,standard,none,52,55,57,Acceptance
male,group C,some high school,standard,completed,67,73,68,Good
male,group C,some high school,standard,completed,76,80,73,Good
female,group E,associate's degree,standard,none,87,94,95,Excellent
female,group B,some college,standard,none,82,85,87,Very good
female,group C,some college,standard,none,73,76,78,Good
male,group A,some college,free/reduced,none,75,81,74,Good
female,group D,some college,free/reduced,none,64,74,75,Good
female,group E,high school,free/reduced,none,41,45,40,Fail
male,group C,high school,standard,none,90,75,69,Good
male,group B,bachelor's degree,standard,none,59,54,51,Acceptance
male,group A,some high school,standard,none,51,31,36,Fail
male,group A,high school,free/reduced,none,45,47,49,Fail
female,group C,master's degree,standard,completed,54,64,67,Not good
male,group E,some high school,standard,completed,87,84,76,Very good
female,group C,high school,standard,none,72,80,83,Good
male,group B,some high school,standard,completed,94,86,87,Very good
female,group A,bachelor's degree,standard,none,45,59,64,Acceptance
male,group D,bachelor's degree,free/reduced,completed,61,70,76,Not good
female,group B,high school,free/reduced,none,60,72,68,Not good
female,group C,some high school,standard,none,77,91,88,Very good
female,group A,some high school,standard,completed,85,90,92,Very good
female,group D,bachelor's degree,free/reduced,none,78,90,93,Very good
male,group E,some college,free/reduced,completed,49,52,51,Acceptance
female,group B,high school,free/reduced,none,71,87,82,Very good
female,group C,some high school,free/reduced,none,48,58,52,Acceptance
male,group C,high school,standard,none,62,67,58,Not good
female,group C,associate's degree,free/reduced,completed,56,68,70,Not good
female,group C,some high school,standard,none,65,69,76,Good
female,group D,some high school,free/reduced,completed,69,86,81,Good
male,group B,some high school,standard,none,68,54,53,Acceptance
female,group A,some college,free/reduced,none,61,60,57,Not good
female,group C,bachelor's degree,free/reduced,completed,74,86,89,Very good
male,group A,bachelor's degree,standard,none,64,60,58,Not good
female,group B,high school,standard,completed,77,82,89,Very good
male,group B,some college,standard,none,58,50,45,Acceptance
female,group C,high school,standard,completed,60,64,74,Not good
male,group E,high school,standard,none,73,64,57,Not good
female,group A,high school,standard,completed,75,82,79,Good
male,group B,associate's degree,free/reduced,completed,58,57,53,Acceptance
female,group C,associate's degree,standard,none,66,77,73,Good
female,group D,high school,free/reduced,none,39,52,46,Fail
male,group C,some high school,standard,none,64,58,51,Acceptance
female,group B,high school,free/reduced,completed,23,44,36,Fail
male,group B,some college,free/reduced,completed,74,77,76,Good
female,group D,some high school,free/reduced,completed,40,65,64,Acceptance
male,group E,master's degree,standard,none,90,85,84,Very good
male,group C,master's degree,standard,completed,91,85,85,Very good
male,group D,high school,standard,none,64,54,50,Acceptance
female,group C,high school,standard,none,59,72,68,Not good
male,group D,associate's degree,standard,none,80,75,69,Good
male,group C,master's degree,standard,none,71,67,67,Not good
female,group A,high school,standard,none,61,68,63,Not good
female,group E,some college,standard,none,87,85,93,Very good
male,group E,some high school,standard,none,82,67,61,Good
male,group C,some high school,standard,none,62,64,55,Not good
female,group B,bachelor's degree,standard,none,97,97,96,Excellent
male,group B,some college,free/reduced,none,75,68,65,Good
female,group C,bachelor's degree,standard,none,65,79,81,Good
male,group B,high school,standard,completed,52,49,46,Fail
male,group C,associate's degree,free/reduced,none,87,73,72,Good
female,group C,associate's degree,standard,none,53,62,53,Acceptance
female,group E,master's degree,free/reduced,none,81,86,87,Very good
male,group D,bachelor's degree,free/reduced,completed,39,42,38,Fail
female,group C,some college,standard,completed,71,71,80,Good
male,group C,associate's degree,standard,none,97,93,91,Excellent
male,group D,some college,standard,completed,82,82,88,Very good
male,group C,high school,free/reduced,none,59,53,52,Acceptance
male,group B,associate's degree,standard,none,61,42,41,Fail
male,group E,associate's degree,free/reduced,completed,78,74,72,Good
male,group C,associate's degree,free/reduced,none,49,51,51,Acceptance
male,group B,high school,standard,none,59,58,47,Acceptance
female,group C,some college,standard,completed,70,72,76,Good
male,group B,associate's degree,standard,completed,82,84,78,Very good
male,group E,associate's degree,free/reduced,none,90,90,82,Very good
female,group C,bachelor's degree,free/reduced,none,43,62,61,Acceptance
male,group C,some college,free/reduced,none,80,64,66,Good
male,group D,some college,standard,none,81,82,84,Very good
male,group C,some high school,standard,none,57,61,54,Acceptance
female,group D,some high school,standard,none,59,72,80,Good
female,group D,associate's degree,standard,none,64,76,74,Good
male,group C,bachelor's degree,standard,completed,63,64,66,Not good
female,group E,bachelor's degree,standard,completed,71,70,70,Good
female,group B,high school,free/reduced,none,64,73,71,Good
male,group D,bachelor's degree,free/reduced,none,55,46,44,Fail
female,group E,associate's degree,standard,none,51,51,54,Acceptance
female,group C,associate's degree,standard,completed,62,76,80,Good
female,group E,associate's degree,standard,completed,93,100,95,Excellent
male,group C,high school,free/reduced,none,54,72,59,Not good
female,group D,some college,free/reduced,none,69,65,74,Good
male,group D,high school,free/reduced,none,44,51,48,Fail
female,group E,some college,standard,completed,86,85,91,Very good
female,group E,associate's degree,standard,none,85,92,85,Very good
female,group A,master's degree,free/reduced,none,50,67,73,Not good
male,group D,some high school,standard,completed,88,74,75,Good
female,group E,associate's degree,standard,none,59,62,69,Not good
female,group E,some high school,free/reduced,none,32,34,38,Fail
male,group B,high school,free/reduced,none,36,29,27,Fail
female,group B,some high school,free/reduced,completed,63,78,79,Good
male,group D,associate's degree,standard,completed,67,54,63,Not good
female,group D,some high school,standard,completed,65,78,82,Good
male,group D,master's degree,standard,none,85,84,89,Very good
female,group C,master's degree,standard,none,73,78,74,Good
female,group A,high school,free/reduced,completed,34,48,41,Fail
female,group D,bachelor's degree,free/reduced,completed,93,100,100,Excellent
female,group D,some high school,free/reduced,none,67,84,84,Good
male,group D,some college,standard,none,88,77,77,Very good
male,group B,high school,standard,none,57,48,51,Acceptance
female,group D,some college,standard,completed,79,84,91,Very good
female,group C,bachelor's degree,free/reduced,none,67,75,72,Good
male,group E,bachelor's degree,standard,completed,70,64,70,Not good
male,group D,bachelor's degree,free/reduced,none,50,42,48,Fail
female,group A,some college,standard,none,69,84,82,Good
female,group C,bachelor's degree,standard,completed,52,61,66,Not good
female,group C,bachelor's degree,free/reduced,completed,47,62,66,Acceptance
female,group B,associate's degree,free/reduced,none,46,61,55,Acceptance
female,group E,some college,standard,none,68,70,66,Not good
male,group E,bachelor's degree,standard,completed,100,100,100,Excellent
female,group C,high school,standard,none,44,61,52,Acceptance
female,group C,associate's degree,standard,completed,57,77,80,Good
male,group B,some college,standard,completed,91,96,91,Excellent
male,group D,high school,free/reduced,none,69,70,67,Not good
female,group C,high school,free/reduced,none,35,53,46,Fail
male,group D,high school,standard,none,72,66,66,Not good
female,group B,associate's degree,free/reduced,none,54,65,65,Not good
male,group D,high school,free/reduced,none,74,70,69,Good
male,group E,some high school,standard,completed,74,64,60,Not good
male,group E,associate's degree,free/reduced,none,64,56,52,Acceptance
female,group D,high school,free/reduced,completed,65,61,71,Not good
male,group E,associate's degree,free/reduced,completed,46,43,44,Fail
female,group C,some high school,free/reduced,none,48,56,51,Acceptance
male,group C,some college,free/reduced,completed,67,74,70,Good
male,group D,some college,free/reduced,none,62,57,62,Not good
male,group D,associate's degree,free/reduced,completed,61,71,73,Not good
male,group C,bachelor's degree,free/reduced,completed,70,75,74,Good
male,group C,associate's degree,standard,completed,98,87,90,Excellent
male,group D,some college,free/reduced,none,70,63,58,Not good
male,group A,associate's degree,standard,none,67,57,53,Acceptance
female,group E,high school,free/reduced,none,57,58,57,Acceptance
male,group D,some college,standard,completed,85,81,85,Very good
male,group D,,standard,completed,77,68,69,Good
male,group C,master's degree,free/reduced,completed,72,66,72,Good
female,group D,master's degree,standard,none,78,91,96,Very good
male,group C,high school,standard,none,81,66,64,Good
male,group A,some high school,free/reduced,completed,61,62,61,Not good
female,group B,high school,standard,none,58,68,61,Not good
female,group C,associate's degree,standard,none,54,61,58,Acceptance
male,group B,high school,standard,none,82,82,80,Very good
female,group D,some college,free/reduced,none,49,58,60,Acceptance
male,group B,some high school,free/reduced,completed,49,50,52,Acceptance
female,group E,high school,free/reduced,completed,57,75,73,Not good
male,group E,high school,standard,none,94,73,71,Very good
female,group D,some college,standard,completed,75,77,83,Good
female,group E,some high school,free/reduced,none,74,74,72,Good
male,group C,high school,standard,completed,58,52,54,Acceptance
female,group C,some college,standard,none,62,69,69,Not good
male,group E,associate's degree,standard,none,72,57,62,Not good
male,group C,some college,standard,none,84,87,81,Very good
female,group D,master's degree,standard,none,92,100,100,Excellent
female,group D,high school,standard,none,45,63,59,Acceptance
male,group C,high school,standard,none,75,81,71,Good
female,group A,some college,standard,none,56,58,64,Not good
female,group D,some high school,free/reduced,none,48,54,53,Acceptance
female,group E,associate's degree,standard,none,100,100,100,Excellent
female,group C,some high school,free/reduced,completed,65,76,75,Good
male,group D,some college,standard,none,72,57,58,Not good
female,group D,some college,standard,none,62,70,72,Not good
male,group A,some high school,standard,completed,66,68,64,Not good
male,group C,some college,standard,none,63,63,60,Not good
female,group E,associate's degree,standard,none,68,76,67,Good
female,group B,bachelor's degree,standard,none,75,84,80,Very good
female,group D,bachelor's degree,standard,none,89,100,100,Excellent
male,group C,some high school,standard,completed,78,72,69,Good
female,group A,high school,free/reduced,completed,53,50,60,Acceptance
female,group D,some college,free/reduced,none,49,65,61,Acceptance
female,group A,some college,standard,none,54,63,67,Not good
female,group C,some college,standard,completed,64,82,77,Good
male,group B,some college,free/reduced,completed,60,62,60,Not good
male,group C,associate's degree,standard,none,62,65,58,Not good
male,group D,high school,standard,completed,55,41,48,Fail
female,group C,associate's degree,standard,none,91,95,94,Excellent
female,group B,high school,free/reduced,none,8,24,23,Fail
male,group D,some high school,standard,none,81,78,78,Good
male,group B,some high school,standard,completed,79,85,86,Very good
female,group A,some college,standard,completed,78,87,91,Very good
female,group C,some high school,standard,none,74,75,82,Good
male,group A,high school,standard,none,57,51,54,Acceptance
female,group C,associate's degree,standard,none,40,59,51,Acceptance
male,group E,some high school,standard,completed,81,75,76,Good
female,group A,some high school,free/reduced,none,44,45,45,Fail
female,group D,some college,free/reduced,completed,67,86,83,Good
male,group E,high school,free/reduced,completed,86,81,75,Very good
female,group B,,standard,completed,65,82,78,Good
female,group D,associate's degree,free/reduced,none,55,76,76,Not good
female,group D,bachelor's degree,free/reduced,none,62,72,74,Good
male,group A,high school,standard,none,63,63,62,Not good
female,group E,master's degree,standard,completed,88,99,95,Excellent
male,group C,high school,free/reduced,none,62,55,55,Acceptance
female,group C,high school,free/reduced,completed,59,71,65,Not good
female,group D,some college,standard,completed,68,78,77,Good
female,group D,some college,free/reduced,none,77,,86,
